product_name,frisch,teigig,file
119,30,0,20230615
123,5,0,20230615
124,15,0,20230615
129,4,0,20230615
140,8,0,20230615
209,8,0,20230615
247,2,0,20230615
268,4,0,20230615
285,6,0,20230615
369,20,0,20230615
417,15,0,20230615
418,12,0,20230615
419,8,0,20230615
444,8,0,20230615
458,6,0,20230615
743,5,0,20230615
2113,1,0,20230615
2119,2,0,20230615
2417,2,0,20230615
2418,1,0,20230615
2419,1,0,20230615
110,4,0,20230615
116,6,0,20230615
125,4,8,20230615
126,4,8,20230615
127,6,0,20230615
130,4,6,20230615
132,4,8,20230615
133,4,20,20230615
134,4,6,20230615
177,6,0,20230615
198,4,8,20230615
241,8,24,20230615
324,10,0,20230615
363,8,12,20230615
368,6,0,20230615
406,4,5,20230615
415,4,5,20230615
453,8,0,20230615
2324,1,0,20230615
471,4,0,20230615
425,4,0,20230615
437,3,0,20230615
509,2,0,20230615
905,2,0,20230615
928,1,0,20230615
929,1,0,20230615
557,6,0,20230615
986,4,0,20230615
224,5,0,20230616
385,2,0,20230616
391,3,0,20230616
452,2,0,20230616
499,2,0,20230616
550,3,0,20230616
551,3,0,20230616
693,2,0,20230616
787,3,0,20230616
868,2,0,20230616
2012,0,1,20230616
449,0,0,20230616
117,0,6,20230616
196,0,2,20230616
227,4,0,20230616
288,0,2,20230616
492,2,2,20230616
906,3,4,20230616
309,8,0,20230616
381,2,0,20230616
113,15,0,20230616
118,5,0,20230616
119,35,0,20230616
123,5,0,20230616
124,26,0,20230616
129,4,0,20230616
140,8,0,20230616
209,8,0,20230616
247,2,0,20230616
268,4,0,20230616
285,6,0,20230616
417,15,0,20230616
418,16,0,20230616
419,8,0,20230616
444,6,0,20230616
458,6,0,20230616
743,4,0,20230616
2113,1,0,20230616
110,4,0,20230616
125,2,8,20230616
126,2,6,20230616
127,6,0,20230616
130,4,6,20230616
132,2,8,20230616
133,8,12,20230616
134,2,5,20230616
177,6,0,20230616
198,2,6,20230616
241,8,24,20230616
324,10,0,20230616
363,8,8,20230616
368,8,0,20230616
406,2,4,20230616
415,2,4,20230616
453,8,0,20230616
691,4,0,20230616
128,2,0,20230616
437,1,0,20230616
509,1,0,20230616
905,2,0,20230616
928,1,0,20230616
929,2,0,20230616
224,3,0,20230617
550,3,0,20230617
868,3,0,20230617
206,0,0,20230617
449,0,0,20230617
450,0,0,20230617
117,0,2,20230617
227,3,0,20230617
288,2,0,20230617
492,2,0,20230617
906,1,2,20230617
233,3,0,20230617
262,6,0,20230617
113,12,0,20230617
118,5,0,20230617
119,35,0,20230617
123,4,0,20230617
124,8,0,20230617
129,3,0,20230617
140,6,0,20230617
209,5,0,20230617
247,2,0,20230617
268,4,0,20230617
285,8,0,20230617
417,8,0,20230617
418,6,0,20230617
419,6,0,20230617
444,8,0,20230617
458,6,0,20230617
743,3,0,20230617
2113,2,0,20230617
2119,3,0,20230617
2417,1,0,20230617
110,6,0,20230617
116,4,0,20230617
125,2,8,20230617
126,4,8,20230617
127,6,0,20230617
130,2,6,20230617
132,5,8,20230617
133,6,20,20230617
134,6,6,20230617
177,5,0,20230617
198,2,8,20230617
241,8,24,20230617
324,3,0,20230617
363,10,8,20230617
368,4,0,20230617
406,4,5,20230617
415,4,5,20230617
453,5,0,20230617
2110,2,0,20230617
2324,2,0,20230617
245,3,0,20230617
230,1,0,20230617
269,1,0,20230617
437,2,0,20230617
509,2,0,20230617
563,2,0,20230617
905,2,0,20230617
928,1,0,20230617
929,1,0,20230617
224,5,0,20230619
229,2,0,20230619
385,2,0,20230619
391,3,0,20230619
452,2,0,20230619
499,2,0,20230619
550,3,0,20230619
551,3,0,20230619
555,3,0,20230619
556,3,0,20230619
693,2,0,20230619
701,3,0,20230619
703,3,0,20230619
787,3,0,20230619
868,2,0,20230619
870,3,0,20230619
2010,0,2,20230619
2012,0,2,20230619
2149,1,0,20230619
2272,1,0,20230619
2302,1,0,20230619
206,1,0,20230619
449,1,0,20230619
450,1,0,20230619
117,6,6,20230619
196,2,2,20230619
227,4,0,20230619
288,2,2,20230619
492,3,2,20230619
906,4,4,20230619
309,8,0,20230619
381,2,0,20230619
113,15,0,20230619
118,5,0,20230619
119,40,0,20230619
123,5,0,20230619
124,15,0,20230619
129,4,0,20230619
140,8,0,20230619
209,8,0,20230619
247,2,0,20230619
268,4,0,20230619
285,6,0,20230619
417,15,0,20230619
418,8,0,20230619
419,8,0,20230619
444,6,0,20230619
458,6,0,20230619
743,4,0,20230619
2113,2,0,20230619
2116,1,0,20230619
2119,2,0,20230619
2368,1,0,20230619
2417,2,0,20230619
2418,1,0,20230619
2419,1,0,20230619
2444,1,0,20230619
2453,1,0,20230619
110,4,0,20230619
116,6,0,20230619
125,4,8,20230619
126,4,6,20230619
127,6,0,20230619
130,4,6,20230619
132,4,8,20230619
133,4,20,20230619
134,4,6,20230619
177,6,0,20230619
198,4,8,20230619
241,6,24,20230619
324,6,0,20230619
363,8,8,20230619
368,8,0,20230619
406,4,5,20230619
415,4,5,20230619
453,6,0,20230619
691,6,0,20230619
2110,1,0,20230619
2324,1,0,20230619
128,3,0,20230619
230,1,0,20230619
269,3,0,20230619
365,2,0,20230619
437,2,0,20230619
509,2,0,20230619
563,2,0,20230619
905,2,0,20230619
928,2,0,20230619
929,2,0,20230619
357,2,0,20230619
224,6,0,20230620
229,1,0,20230620
265,3,0,20230620
266,3,0,20230620
385,2,0,20230620
452,2,0,20230620
499,2,0,20230620
550,3,0,20230620
551,3,0,20230620
693,2,0,20230620
703,1,0,20230620
787,3,0,20230620
868,2,0,20230620
870,2,0,20230620
2010,0,2,20230620
2012,0,2,20230620
2149,1,0,20230620
2272,1,0,20230620
2302,1,0,20230620
449,0,0,20230620
117,0,6,20230620
196,0,2,20230620
227,3,0,20230620
288,0,2,20230620
492,0,2,20230620
906,0,4,20230620
242,4,0,20230620
113,15,0,20230620
118,5,0,20230620
119,30,0,20230620
123,5,0,20230620
124,15,0,20230620
129,4,0,20230620
140,8,0,20230620
209,8,0,20230620
247,2,0,20230620
268,4,0,20230620
285,6,0,20230620
417,15,0,20230620
418,8,0,20230620
444,6,0,20230620
458,6,0,20230620
743,4,0,20230620
2368,1,0,20230620
2453,1,0,20230620
110,4,0,20230620
116,6,0,20230620
125,4,8,20230620
126,4,6,20230620
127,6,0,20230620
130,4,6,20230620
132,4,8,20230620
133,4,20,20230620
134,4,6,20230620
177,5,0,20230620
198,4,8,20230620
241,6,24,20230620
324,6,0,20230620
363,8,8,20230620
368,8,0,20230620
406,4,5,20230620
415,4,5,20230620
453,8,0,20230620
691,4,0,20230620
389,2,0,20230620
